Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Ioannes,2,435842,Frangochorion (between Danube and Sava),,,"Niketas Choniates, Historia",18.58-59,Frangochorion (between Danube and Sava): captured Frangochorion,Ioannes 2: Frangochorion (between Danube and Sava): Specifies presence ,Specifies presence,,,,
Ioannes,2,435917,Buza'a,,,"Niketas Choniates, Historia",27.10-28.25,Buza'a: extracted great wealth from Buza'a,Ioannes 2: Buza'a: Specifies presence ,Specifies presence,,,,
Ioannes,2,435947,Aleppo,https://pleiades.stoa.org/places/658409,,"Niketas Choniates, Historia",28.31-42,"Aleppo: bypassed Aleppo, which was energetically defended",Ioannes 2: Aleppo: Specifies presence near,Specifies presence near,,,,
Ioannes,2,435948,Pherep (near Aleppo),,,"Niketas Choniates, Historia",28.42-43,Pherep (near Aleppo): stormed and captured Pherep,Ioannes 2: Pherep (near Aleppo): Specifies presence ,Specifies presence,,,,
Ioannes,2,435950,Nistrion (near Shayzar),,,"Niketas Choniates, Historia",29.48-53,"Nistrion (near Shayzar): as he approached Shayzar, his Pecheneg soldiers captured and sacked Nistrion",Ioannes 2: Nistrion (near Shayzar):Specifies presence near,Specifies presence near,,,,
Ioannes,2,435976,Ochyrai,,,"Niketas Choniates, Historia",33.65-66,Ochyrai: built Ochyrai,Ioannes 2: Ochyrai: Specifies presence ,Specifies presence,,,,
Ioannes,2,435985,Kinte (Pontos),,,"Niketas Choniates, Historia",34.6-7,Kinte (Pontos): spent the winter at Kinte,Ioannes 2: Kinte (Pontos): Specifies presence ,Specifies presence,,,,
Ioannes,2,438982,Crows' Nests (mountains in Cilicia),,,"Niketas Choniates, Historia",40.62,Crows' Nests (mountains in Cilicia): camped beneath Crows' Nests,Ioannes 2: Crows' Nests (mountains in Cilicia): Specifies presence ,Specifies presence,,,,
Ioannes,293,439011,Constantinople,https://pleiades.stoa.org/places/520998,,"Niketas Choniates, Historia",48.6-7,Constantinople: was sent from Cilicia to Constantinople,Ioannes 293: Constantinople: Specifies presence ,Specifies presence,,,,
Kosmas,12,439241,Aigina,https://pleiades.stoa.org/places/579844,,"Niketas Choniates, Historia",79.89,Aigina: he came in fact from Aigina,Kosmas 12: Aigina: Specifies presence ,Specifies presence,,,,
Alexios,1,435733,Constantinople: Christos Philanthropos,,,"Niketas Choniates, Historia",8.86,Constantinople: Christos Philanthropos: was buried at Christos Philanthropos,Alexios 1: Constantinople: Christos Philanthropos: Specifies presence ,Specifies presence,,,,
Athanasios,117,445258,Constantinople: Panagios (monastery),,,Niketas Stethatos (Darrouzes),464 tit,Constantinople: Panagios (monastery): he was hegoumenos of the Panagios (monastery),Athanasios 117: Constantinople: Panagios (monastery): Specifies presence ,Specifies presence,,,,
Romanos,118,444672,Rossano (Italy),https://pleiades.stoa.org/places/442750,,Nikolaos III to Urban II,l. 48,Rossano (Italy): was archbishop of Rossano,Romanos 118: Rossano (Italy): Specifies presence  (Dignity),Dignity,,,,
Anonymi,11002,254582,Constantinople,https://pleiades.stoa.org/places/520998,,Pakourianos,39-40,Constantinople: brought up in the prosperous and populous city of Constantinople,Anonymi 11002: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,2,438657,Anthemiou (monastery),,,Pantokrator Typikon,687,Anthemiou (monastery): stipulated how the Pantokrator was to control Anthemiou as a dependent monastery,Ioannes 2: Anthemiou (monastery): Does not specify presence,Does not specify presence,,,,
Ioannes,2,438659,Galakrenai (monastery),,,Pantokrator Typikon,688,Galakrenai (monastery): stipulated how the Pantokrator was to control Galakrenai as a dependent monastery,Ioannes  2: Galakrenai (monastery): Does not specify presence,Does not specify presence,,,,
Ioannes,2,438660,Satyros (monastery),,,Pantokrator Typikon,688,Satyros (monastery): stipulated how the Pantokrator was to control Satyros as a dependent monastery,Ioannes 2: Satyros (monastery): Does not specify presence,Does not specify presence,,,,
Ioannes,2,438656,Monokastanon (monastery),,,Pantokrator Typikon,686-687,Monokastanon (monastery): stipulated how the Pantokrator was to control Monokastanon as a dependent monastery,Ioannes 2: Monokastanon (monastery): Does not specify presence,Does not specify presence,,,,
Ioannes,2,438658,Medikariou (monastery),,,Pantokrator Typikon,687-688,Medikariou (monastery): stipulated how the Pantokrator was to control Medikarion (opposite the capital) as a dependent monastery,Ioannes 2: Medikariou (monastery): Does not specify presence,Does not specify presence,,,,
Mauros,106,445000,Constantinople,https://pleiades.stoa.org/places/520998,,"Paschal II, Letter to Alexios I",589C,Constantinople: was envoy of <Paschales 22> to Constantinople,Mauros 106: Constantinople:  Specifies presence ,Specifies presence,J 1112,source,,
Hugh,104,445008,Constantinople,https://pleiades.stoa.org/places/520998,,"Paschal II, Letter to Alexios I",589C,Constantinople: was envoy of <Paschales 22> to Constantinople,Hugh 104: Constantinople:  Specifies presence ,Specifies presence,J 1112,source,,
Anonymus,970,445009,Constantinople,https://pleiades.stoa.org/places/520998,,"Paschal II, Letter to Alexios I",589C,Constantinople: was envoy of <Paschales 22> to Constantinople,Anonymus 970: Constantinople:  Specifies presence ,Specifies presence,J 1112,source,,
Anonymus,971,445010,Constantinople,https://pleiades.stoa.org/places/520998,,"Paschal II, Letter to Alexios I",589C,Constantinople: was envoy of <Paschales 22> to Constantinople,Anonymus 971: Constantinople:  Specifies presence ,Specifies presence,J 1112,source,,
Theodosios,14102,341850,Constantinople,https://pleiades.stoa.org/places/520998,,Patmos: Codicil,87,Constantinople: was expected by <Christodoulos 101> to collect the deeds of the Patmos monastery and bid farewell to relatives at Constantinople,Theodosios 14102: Constantinople:  Does not specify presence,Does not specify presence,,,,
Christodoulos,101,341851,Constantinople,https://pleiades.stoa.org/places/520998,,Patmos: Codicil,87,Constantinople: expected <Theodosios 14102> to collect the deeds of the Patmos monastery and bid farewell to relatives at Constantinople,Christodoulos 101: Constantinople:  Does not specify presence,Does not specify presence,,,,
Theodosios,14102,341853,Constantinople,https://pleiades.stoa.org/places/520998,,Patmos: Codicil,87,Constantinople: promised <Christodoulos 101> to be tonsured and to appeal to <Alexios 1> on arrival at Constantinople,Theodosios 14102: Constantinople: Does not specify presence,Does not specify presence,,,,
Christodoulos,101,341854,Constantinople,https://pleiades.stoa.org/places/520998,,Patmos: Codicil,87,Constantinople: was promised by <Theodosios 14102> that <Theodosios 14102> would be tonsured and appeal to <Alexios 1> on arrival at Constantinople,Christodoulos 101: Constantinople: Does not specify presence,Does not specify presence,,,,
Alexios,1,341855,Constantinople,https://pleiades.stoa.org/places/520998,,Patmos: Codicil,87,Constantinople: was to be appealed to by <Theodosios 14102> on the latter's arrival at Constantinople,Alexios 1: Constantinople:  Specifies presence ,Specifies presence,,,,
Christodoulos,101,341873,Constantinople,https://pleiades.stoa.org/places/520998,,Patmos: Codicil,87,Constantinople: brought the books from Latros via Kos to Constantinople,Christodoulos 101: Constantinople:  Specifies presence ,Specifies presence,,,,
Pentaktenes,101,445046,Rossano (Italy),https://pleiades.stoa.org/places/442750,,Peri metatheseon,"182, no. 49",Rossano (Italy): was archbishop of Rossano,Pentaktenes 101: Rossano (Italy):  Specifies presence  (Dignity),Dignity,,,,
Anonymus,974,445067,Sergentze,,,Peri metatheseon,"182, no. 52",Sergentze: became bishop of Sergentze,Anonymus 974: Sergentze:  Specifies presence  (Dignity),Dignity,,,,
Anonymus,975,445069,Axio(u)polis,https://pleiades.stoa.org/places/216722,,Peri metatheseon,"182, no. 53",Axio(u)polis: was incumbent of the see of Axioupolis,Anonymus 975: Axio(u)polis:  Specifies presence  (Dignity),Dignity,,,,
Anonymus,977,445092,Constantinople,https://pleiades.stoa.org/places/520998,,Peri metatheseon,"183, no. 55",Constantinople: was welcomed by <Nikolaos 13> to Constantinople,Anonymus 977: Constantinople:  Specifies presence ,Specifies presence,,,,
Sabas,111,445099,Constantinople,https://pleiades.stoa.org/places/520998,,Peri metatheseon,"183, no. 56",Constantinople: came and concelebrated with <Ioannes 19> in Constantinople,Sabas 111: Constantinople:  Specifies presence ,Specifies presence,,,,
Petros,103,444966,Constantinople,https://pleiades.stoa.org/places/520998,,Petros of Antioch  ,ep. synod. Alexandria (Michel) 432.29,Constantinople: moved for secondary education to Constantinople,Petros 103: Constantinople:  Specifies presence ,Specifies presence,,,,
Dominikos,101,434883,Grado,,,Petros of Antioch  ,ep. to Domenico of Grado (Will) 208 tit,Grado: he was archbishop of Grado or Aquileia,Dominikos 101: Grado:  Specifies presence  (Dignity),Dignity,,,,
Petros,103,435038,Babylon,https://pleiades.stoa.org/places/893951,,Petros of Antioch  ,ep. to Domenico of Grado (Will) 212.32,"Babylon: as a great see whose incumbent was not entitled patriarch, he cited Babylon",Petros 103: Babylon: Does not specify presence,Does not specify presence,,,,
Ioannes,2,436117,Alamos (near Kastamon),,,"Prodromos, Historische Gedichte","III.43, 101, IV 212, VI.12",Alamos: captured Alamos,Ioannes 2: Alamos: Specifies presence ,Specifies presence,,,,
Ioannes,2,436119,Alazos (near Kastamon),,,"Prodromos, Historische Gedichte","III.43, 101, IV 212, VI.12",Alazos (near Kastamon): captured Alazos (near Kastamon),Ioannes 2: Alazos (near Kastamon): Specifies presence ,Specifies presence,,,,
Ioannes,2,436120,Balzon (near Kastamon),,,"Prodromos, Historische Gedichte","III.43, 105, IV 211, VI.12",Balzon (near Kastamon): captured Balzon (near Kastamon),Ioannes 2: Balzon (near Kastamon): Specifies presence ,Specifies presence,,,,
Ioannes,2,436198,Pherep (near Aleppo),,,"Prodromos, Historische Gedichte",XI.54,Pherep (near Aleppo): returned from an expedition to Pherep,Ioannes 2: Pherep (near Aleppo): Specifies presence ,Specifies presence,,,,
Ioannes,2,436199,Aleppo,https://pleiades.stoa.org/places/658409,,"Prodromos, Historische Gedichte",XI.54,Aleppo: returned from an expedition to Aleppo,Ioannes 2: Aleppo: Specifies presence ,Specifies presence,,,,
Ioannes,2,436201,Babylon,https://pleiades.stoa.org/places/893951,,"Prodromos, Historische Gedichte",XI.54,Babylon: returned from an expedition beyond the Euphrates to Babylon,Ioannes 2: Babylon: Specifies presence ,Specifies presence,,,,
Ioannes,2,436208,Bebrykes (mythological inhabitants of Bythinia),,,"Prodromos, Historische Gedichte",XI.84,Bebrykes (mythological inhabitants of Bythinia): had lost to the Turks part of the lands of the Bebrykes,Ioannes 2: Bebrykes (mythological inhabitants of Bythinia):  Does not specify presence,Does not specify presence,,,,
Ioannes,2,436212,Tigris (river),,,"Prodromos, Historische Gedichte",XII.35,Tigris (river): his forces had crossed the Tigris (inaccurate),Ioannes 2: Tigris (river):  Does not specify presence,Does not specify presence,,,,
Isaakios,102,436352,Jordan: Monastery of St Ioannes Prodromos,,,"Prodromos, Historische Gedichte",XL.6-7,Jordan: Monastery of St Ioannes Prodromos: invested heavily in bringing water to the monastery of St Ioannes Prodromos,Isaakios 102: Jordan: Monastery of St Ioannes Prodromos: Specifies presence,Specifies presence,,,,
Ioannes,2,436253,Maiander (river),,,"Prodromos, Historische Gedichte",XVIII.9,Maiander (river): won a victory simply by marching to the Maiander,Ioannes 2: Maiander (river):   Specifies presence ,Specifies presence,,,,
Michael,11,379636,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Keroularios 305,Constantinople: was born in Constantinople,Michael 11: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymi,2101,379641,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Keroularios 349,Constantinople: supporters of the flioque came from Rome to Constantinople,Anonymi 2101: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,13,379629,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Leichoudes 390,Constantinople: was born in Constantinople,Konstantinos 13: Constantinople:  Specifies presence ,Specifies presence,,,,
Anonymus,2349,379803,Koloneia (?),,,Psellos,"Letters (K - D) 30, 44.21",Koloneia (?): was metropolitan of Koloneia (?),Anonymus 2349: Koloneia: Specifies presence  (Dignity),Dignity,,,,
Anonymus,2363,379814,Aleppo,https://pleiades.stoa.org/places/658409,,Psellos,"Letters (K - D) 43, 72.3",Aleppo: came from Aleppo,Anonymus 2363: Aleppo: : Specifies presence ,Specifies presence,,,,
Theodoros,106,379821,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,"Letters (K - D) 50, 82.14",Constantinople: was born in Constantinople,Theodoros 106: Constantinople:: Specifies presence ,Specifies presence,,,,
Anonymus,2233,379748,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Letters (Sathas) 111.356,Constantinople: was the nicest man in Constantinople,Anonymus 2233: Constantinople : Specifies presence,Specifies presence,,,,
Anonymus,434,379795,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Letters (Sathas) 204.499,Constantinople: was originally from Constantinople,Anonymus 434: : Specifies presence ,Specifies presence,,,,
Michael,61,379735,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Letters (Sathas) 95.339,Constantinople: though claimed by many parts of the world was from Constantinople,Michael 61: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,434,230901,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Oratoria minora 58.31,Constantinople: was presented as a beacon of light by (was trained at?) Constantinople,Anonymus 434: Constantinople : Specifies presence (Ownership),Ownership,,,,
Anonymus,443,230913,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Oratoria minora 61.49,Constantinople: managed (owned?) a tavern in Constantinople,Anonymus 443: Constantinople : Specifies presence Ownership,Ownership,,,,
Anonymus,444,230914,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Oratoria minora 61.49,Constantinople: managed (owned?) a tavern in Constantinople,Anonymus 444: Constantinople : Specifies presence Ownership,Ownership,,,,
Anonymus,445,230915,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Oratoria minora 61.49,Constantinople: managed (owned?) a tavern in Constantinople,Anonymus 445: Constantinople : Specifies presence Ownership,Ownership,,,,
Anonymus,442,230916,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Oratoria minora 61.49,Constantinople: frequented the best taverns in Constantinople,Anonymus 442: Constantinople : Specifies presence,Specifies presence,,,,
Ioannes,18,379634,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Xiphilinos 421,Constantinople: half-way through his education moved to Constantinople,Ioannes 18: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,13,379639,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos,Xiphilinos 421,Constantinople: became patriarch of Constantinople,Konstantinos 13: Constantinople: Specifies presence (dignity),Dignity,,,,
Zoe,1,248455,Constantinople: Blachernai,,,Psellos: Chronographia,IV 23.6,Constantinople: Blachernai: adopted <Michael 5> as her son at the gates of the sanctuary in the church at  Blachernai,Zoe 1: Constantinople: Blachernai: Specifies presence,Specifies presence,,,,
Zoe,1,248483,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,5.3,Constantinople: with her exhortations she calmed Constantinople,Zoe 1: Constantinople : Specifies presence,Specifies presence,,,,
Ioannes,68,248452,Constantinople: Blachernai,,,Psellos: Chronographia,IV 23.5-6,Constantinople: Blachernai: gathered all the officials in the church at  Blachernai,Ioannes 68: Constantinople: Blachernai: Specifies presence,Specifies presence,,,,
